"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","200","Gross domestic product (GDP) by state","1","...","All industry total",8549209,9030651,9602088,10225879,10562041,10916911,11446549,12206995,13022458,13781347,14399635,14635348,14329566,14869544,15416873,16060678,16665215,17316314
"00000","United States","","200","Gross domestic product (GDP) by state","2","..."," Private industries",7459395,7894015,8403164,8956010,9223548,9499527,9950967,10627989,11366297,12045446,12572387,12716179,12352979,12826507,13348439,13971970,14556407,15175312
"00000","United States","","200","Gross domestic product (GDP) by state","3","11","  Agriculture, forestry, fishing, and hunting",108796,99940,92808,98517,100027,95800,116075,142695,128571,128345,141999,154525,137655,160217,197241,195280,226635,210227
"00000","United States","","200","Gross domestic product (GDP) by state","4","111-112","   Farms",88136,79030,70934,76044,78094,74033,93102,118908,104514,99352,113533,126345,109800,129725,166249,161423,192081,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","5","113-115","   Forestry, fishing, and related activities",20660,20910,21874,22473,21933,21767,22973,23787,24057,28993,28466,28180,27855,30492,30992,33857,34554,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","6","21","  Mining",95144,81363,84261,110473,125162,113411,140083,167561,226646,273405,314018,401457,290349,331720,398632,406690,439398,461339
"00000","United States","","200","Gross domestic product (GDP) by state","7","211","   Oil and gas extraction",55158,38820,43874,68221,77197,70516,93601,113403,156230,178223,205288,280516,184601,209323,252490,260369,291937,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","8","212","   Mining, except oil and gas",26485,28948,29292,28454,28082,27595,29518,34135,43496,52394,58462,62971,65757,77327,88447,80753,78796,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","9","213","   Support activities for mining",13501,13595,11094,13798,19883,15300,16964,20023,26921,42788,50268,57970,39991,45070,57695,65567,68666,"(NA)"
"00000","United States","","200","Gross domestic product (GDP) by state","10","22","  Utilities",172141,163873,180057,180166,183974,180137,187079,202685,201352,229998,235074,237514,250785,266986,272036,264576,276662,291347
