State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
UNITED STATES,901081812545,1025967497363,1148198722191,1287441996730,1056042963028,1278494525839,1482507755226,1545820839892,1578439230852,1620531899958
Texas,129346156716,150890067958,168228620315,192221780916,162994740450,206992356499,251104278477,264664928203,279370573538,288048985741
California,116689901804,127770793810,134318906761,144805748349,120079965765,143208226608,159421393886,161757310648,168129011294,173811625400
Washington,33078176892,42390603185,52089477068,54498049919,51850856743,53345329885,64800272158,75654307226,81630551605,90547036334
New York,51840964871,59131681664,71115801477,81385735231,58743030056,69684943969,84999347161,81337507054,86312467010,88433809412
Illinois,36168606637,42134675259,48896249905,53677477963,41626110699,50060707025,64902904219,68157880309,66157176406,68246837088
Louisiana,19403622081,23476817989,30318911145,41908136496,32616451452,41370690441,54971153986,62868766110,63241655863,64813659468
Florida,33443890512,38557545807,44858050410,54238239529,46888006761,55399353874,65009786038,66222522916,60486034748,58506528733
Michigan,37848627094,40499792371,44555349131,45135506345,32655333884,44851338759,51063992243,57051460900,58651788932,55928500991
Ohio,35110493790,38161413584,42562233016,45627982845,34104484238,41504651676,46457638989,48818903140,50826901883,52240104252
Unallocated,33942777524,36175516962,38893711264,42188054504,33619608007,45731777165,45348531624,47950281362,47688946411,49009133380
Pennsylvania,22333839455,26358528010,29195435464,34648502042,28381102168,34942927237,41103128737,38851915248,41173078475,40354943154
Georgia,20656953025,20113252153,23365865349,27513961882,23743041911,28898749200,34863073945,36038507034,37534070271,39376825754
New Jersey,21107184847,27230577285,30836468846,35643101080,27244246431,32130944531,38172316758,37285604108,36651543520,36616205166
Indiana,21593812900,22666267651,25956346037,26502291510,22907367488,28764260136,32332054981,34398866943,34154533203,35467036651
Tennessee,19173896519,21647639904,21864789113,23237724782,20484299844,25947896703,30016116443,31142980349,32306560694,32940171718
North Carolina,19507118126,21286290087,23355818431,25090543442,21792953156,24917912305,27067046870,28838731833,29342049629,31376674756
South Carolina,13959863465,13619870140,16575455732,19852520521,16488111133,20335645295,24732577525,25115454630,26290858848,29624187799
