State,2008,2009,2010,2011,2012,2013,2014
UNITED STATES,2103640710944,1559624813477,1913856594014,2207954346316,2276267147199,2268370482838,2347685228534
California,348268556517,270414469747,327265731675,351597458006,376487234143,381064553797,403368646843
Texas,287276479192,205711090697,265645642900,318790623276,330294880853,311866846285,302276933534
Illinois,118124779630,86461132126,108932390111,122056611744,126405072973,124828044879,140122509490
New York,125577290922,92909031343,113722242354,127252335095,124434442586,129806670792,134580133955
New Jersey,134374871620,94367511812,108660250529,125476341308,120863295690,119293683722,126365430762
Michigan,90150588566,59748247532,88042034351,104279575237,116220311134,118151181069,122738805667
Georgia,56510260415,47360287514,60183396534,67276958853,72449106626,75025898455,83764608277
Pennsylvania,81335668905,57899584298,74587931378,89444597515,80771587834,84939428693,83086063845
Florida,58203370225,45657945847,56271195113,65339869231,71222393305,72258409682,71782152022
Ohio,59310604788,42912227283,52990268955,59782782547,64143181153,66418605338,70268895120
Tennessee,52549382706,41210640625,48201033325,55215395051,61484288586,65025669813,69754014293
Louisiana,87012233549,43507654959,60914812130,82651758885,80813125672,66214255175,57605434176
North Carolina,47701154118,37644461242,42490216521,47868210608,49579760387,49848250344,52863883680
Washington,48342728280,37647228383,42770678908,46684716138,47627199440,49927174369,52378630833
Indiana,28161063424,25286584138,33149506765,39519425612,43277846831,45678441017,48793539329
Kentucky,29270979356,25346772506,32091761549,31969824313,34724857475,37859496289,39266108135
South Carolina,29183187987,20831073390,25678617657,33842019108,35600518307,32899403892,37728697389
Minnesota,33035603411,21192126099,26345681980,33125201612,32871466095,33022284076,34692897614
Massachusetts,32296773943,26454499969,30682970888,33367003099,32957595940,34361410276,34435514986
Maryland,18454431224,13341505600,19825960834,23951836638,25081883073,26578065610,30071548917
Virginia,23329035670,18655803968,20426631353,21474398563,21866535223,22383230885,24286941582
Connecticut,22050722471,16593959843,18651519813,24028255902,21503350758,21563732928,23892040733
Wisconsin,21581340308,16532310943,19688600428,21922514015,23197698390,22223146816,23524598717
Puerto Rico,19464016206,18528601537,19303504953,24613475370,25786140527,24163834396,23424440761
Alabama,15908606971,12242410477,14899354103,17441393415,18337957524,18940617363,22210087795
Arizona,15158048097,12301243161,15622649694,17570736055,18948129296,19023921393,19715930777
Missouri,13728010789,11403496534,12842468200,15698844241,16501631083,18514674188,18283923179
Mississippi,17600940021,13349563050,15919063817,20469540365,20666152558,20003436883,17254303213
Colorado,10337134297,8627049189,11357702894,11745392144,12649122371,12820767249,14237309353
Oregon,16896901894,11944368472,13473096389,16464403081,16570698537,14344360855,13787777664
Oklahoma,7775230823,5300671331,6526982976,11325013173,11419204829,12382619743,13588520904
Unallocated,23031650742,17131250095,13909585503,14206926692,13167839104,13572772959,12268636929
Kansas,10223157529,11891201863,10826256097,9786202310,10872675723,10756375530,11805856621
New Hampshire,10614636823,6322029947,8949850921,11681904299,12225388751,11873197162,11215615947
Utah,6340873994,6565827546,8231138495,11114063655,11150304251,10638739147,11118424611
Delaware,13851021714,12402890046,9726008599,12167199204,13556287080,10132236064,10689561394
Iowa,9282301587,6106368538,7091185702,8240761230,9432393394,9570848930,10080923399
Rhode Island,7451752105,5484707568,7118694125,8579471206,9459793267,9567994155,8353607988
Nevada,6105624816,5279951104,6047202545,7450671740,8331002530,8582336275,7849656312
Arkansas,6576794694,5698952770,6768601749,7211198071,7413217218,7621321509,7602779486
Montana,6265592153,3556273634,4680292301,5615202766,5592916500,5740599560,6237281938
Idaho,4119709700,3194774814,4126357882,4859971682,5148126369,5544759634,5691784235
Hawaii,6055350695,3889600458,4743144510,5974027318,6661883008,6097334286,5329853601
Vermont,3783829738,3106274129,3376342317,4136933427,4350811888,4949229073,4759797794
Nebraska,3256492806,2682771408,2900806184,3414869609,3575941920,3702901016,4050191701
Maine,4823052305,4279438148,4197242252,4449753735,3775864119,3540873093,3860606350
North Dakota,2982287212,1983178207,2528414658,3472784061,3906721030,3601155722,3829392074
West Virginia,3357244811,2543542915,3208029448,3478678637,3808933458,3701383884,3811090386
New Mexico,2280597152,2000239584,3164326062,2530897039,2325753564,2016094015,2237304630
Alaska,1707186170,1242286705,1476454567,1825787886,2105287597,1480639894,2007526150
Wyoming,3815381785,1996189063,1743354257,1937329530,2005071628,2161765008,1901836758
District of Columbia,1239352020,1155911508,667031697,444269659,446874350,625684469,1103916125
South Dakota,916185984,577013253,694998558,845251861,953735419,998617334,1041924500
Virgin Islands,16590638084,9150586559,10517376508,12283680499,1243655832,461507847,687336060
