state,year,exports_total,imports_total,exports_china,imports_china,GDP_millions
Alabama,2008,15879048527,15908606971,817147134,1458450834,173712
Alabama,2009,12354803017,12242410477,801095298,1402622152,169385
Alabama,2010,15495257436,14899354103,1910683193,1644559221,176355
Alabama,2011,17927675723,17441393415,2337076737,1945795153,182395
Alabama,2012,19576975820,18337957524,2389479073,1957654938,186960
Alabama,2013,19293065760,18940617363,2468189824,1973265603,194671
Alabama,2014,19439656976,22210087795,3126670408,2033874199,199440
Alaska,2008,3541796749,1707186170,733090679,114150713,54853
Alaska,2009,3270429748,1242286705,586229677,54547109,49655
Alaska,2010,4154776632,1476454567,921276201,187532023,52673
Alaska,2011,5258939493,1825787886,1477185272,398160866,56939
Alaska,2012,4543424891,2105287597,1353509982,200588882,57941
Alaska,2013,4527821865,1480639894,1236228045,181161005,57276
Alaska,2014,5110729449,2007526150,1466861476,333486222,57080
Arizona,2008,19784243422,15158048097,1254539127,1621262510,259238
Arizona,2009,14023462270,12301243161,821766006,1449519841,243300
Arizona,2010,15720859418,15622649694,1037149359,2096200290,248542
Arizona,2011,17884512214,17570736055,1003958364,2435285273,256972
Arizona,2012,18404658712,18948129296,1252179673,2737450079,267493
Arizona,2013,19476610682,19023921393,1079923163,2477905812,274734
Arizona,2014,21247546752,19715930777,1019115907,2707933025,284156
Arkansas,2008,5775976750,6576794694,320633550,1880716155,103228
Arkansas,2009,5266978589,5698952770,235412655,1674123502,101003
Arkansas,2010,5219461184,6768601749,335601404,2045614522,106043
Arkansas,2011,5610951001,7211198071,413997218,1934575310,110850
Arkansas,2012,7615199432,7413217218,718603427,2100356241,114090
Arkansas,2013,7153400589,7621321509,683491341,2262985138,118553
Arkansas,2014,6860016662,7602779486,437354557,2529941697,121395
California,2008,1.44806E+11,3.48269E+11,10981739113,98676475455,1994484
California,2009,1.2008E+11,2.70414E+11,9744452187,89251843559,1915684
California,2010,1.43208E+11,3.27266E+11,12474252241,1.13378E+11,1966587
California,2011,1.59421E+11,3.51597E+11,14216541966,1.20121E+11,2033990
California,2012,1.61757E+11,3.76487E+11,13969451382,1.27757E+11,2125135
California,2013,1.68129E+11,3.81065E+11,16281909460,1.30448E+11,2212991
California,2014,1.73812E+11,4.03369E+11,16050010176,1.37676E+11,2311616
Colorado,2008,7712606567,10337134297,508226927,1733114110,256091
Colorado,2009,5867265731,8627049189,439544519,1496658351,250285
Colorado,2010,6726497299,11357702894,558431283,2098720858,258237
Colorado,2011,7338212066,11745392144,636813755,1938564578,266627
Colorado,2012,8170084468,12649122371,675889454,1864509674,276816
Colorado,2013,8545565629,12820767249,658606980,1924890981,288338
